id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
3314,நங்கை,நங்கையாள்,naṅkai,naṅkaiyāḷ,"அண்ணி நாத்தனார் | அண்ணனின் மனைவி (அண்ணி); கனவனின் அக்கா, மனைவியின் அக்கா.",,அண்ணணின் மனைவி/ மனைவியின் அக்காள் | உங்க நங்க கூப்புடுதுடா.,பெயர்ச்சொல்,kinship,,od | pm,
3315,நங்கையா,,naṅkaiyā,,நாத்தனார் | மனைவியின் அக்கா | காண்க : நங்கை,,,,kinship,,od | pm,
3316,நச்சிட்டு,,nacciṭṭu,,தொந்தரவு செய்தல்.,,ஏ நச்சிட்டு இருக்கெ கம்முனிரு.,,,,np,
3317,நச்சு,,naccu,,"வாசாலம், பேசிக்கொண்டே இருப்பது",,,,human_behavior,,od,
3318,நச்சுத்தீனி,,naccuttīṉi,,அடிக்கடி தின்னும் தின்பண்டம்.,,நச்சுத் தீனி திங்கறதே வேலயாப் போச்சு.,,,,np,
3319,நச்சுதல்,,naccutal,,எதையாவது கேட்டு இடைவிடாமல் குழந்தைகள் தொந்தரவு செய்தல்.,,சும்மா நச்சிக்கிட்டே இருக்காதடா.,வினைச்சொல்,,,pm,
3320,நசவல்வேலெ,,nacavalvēle,,சலிப்பூட்டும் வேலை.,,இந்த அகராதி தொகுக்குறது ஒரு நசவல்வேலடா சாமி.,,,,np,
3321,நஞ்ச சோறு,,nañca cōṟu,,"பழைய நைந்த சோறு | நைந்த சோறு, கெட்டுப் போன சோறு.",,நஞ்ச சோத்தத் தின்னிருக்கரென். வவுறு வலிக்குமா.,பெயர்ச்சொல்,food_cooking,,od | pm,
3322,நஞ்சு,,nañcu,,"பெரும்பாலும் விஷம் என்ற பொருள்தான் | ஆடு மாடுகள் ஈன்ற சிறிது நேரம் கழித்து போடும் உதிரமும் சதையும் கலந்த கொடி. | ஆடு, மாடுகள் ஈன்றதும் சில மணி நேரம் கழித்து வரும் உதிரமும் சதையும் கலந்த, கொடி போன்ற நீளமான சதைக் கோளம். (இதை ஆடு, மாடுகள் தின்றுவிட்டால், பால் இல்லாமல் போய்விடும்).",,"ஆனால், ஆடு மாடுகள் குட்டி /கன்று ஈன்ற பிறகு வெளிவரும் தொப்புள் கொடியைக் குறிக்கும் | ஆடு நஞ்சு தின்றப் போவுது. | குட்டிபோட்டு இவ்வளோ நேரமாச்சு. இன்னம் நஞ்சு போடலியா.",பெயர்ச்சொல்,farming_livestock,,od | np | pm,
3323,நஞ்சுக் கொடி,,nañcuk koṭi,,காண்க : நஞ்சு,,,,,,pm,
3324,நட்டடுப்புச் சாம்பல்,,naṭṭaṭuppuc cāmpal,,,,,,home_household,,od,
3325,நட்டம்,,naṭṭam,,செங்குத்து.,,படி நட்டமாப் போய்க்கிட்டே இருக்குது.,பெயர்ச்சொல்,,,pm,
3326,நட்டானடுவுலெ,,naṭṭāṉaṭuvule,,மையப்பகுதியில்.,,நட்டானடுவுல போயி உக்காந்துகிட்டெ.,,,,np,
3327,நட்டு,,naṭṭu,,தழைந்து வருவதற்காக வெட்டி நடப்படும் மரப்போத்து.,,ரண்டு நட்டு கொண்டாந்து நடு.,பெயர்ச்சொல்,,,pm,
3328,நட்டொ,,naṭṭo,,செங்குத்து.(1) | இழப்பு (நஷ்டம்).(2),,படி இவ்ளோ நட்டொமா இருக்கு. | பண நெறய நட்டொமாப் போச்சு.,,,,np,
3329,நடக்கதவு,,naṭakkatavu,,எதிரெதிராக அமைத்த வீடுகளுக்கு பொதுவாக அமைத்து இருக்கும் வழி.,,நடக்கதவெ நல்லா சாத்து.,,,,np,
3330,நடநட்டம்,,naṭanaṭṭam,,காண்க : நட்டம்.,,,,,,pm,
