id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
1,அக்கட்ட,அக்கட்டு | அக்கட்டாலே | அக்கட்டால | அக்கெட்டை,akkaṭṭa,akkaṭṭu | akkaṭṭālē | akkaṭṭāla | akkeṭṭai,"அந்த இடம், அந்த இடத்திலே | அந்தப்பக்கம்.(1) | வேறிடம்.(2)","that place, there","அடுப்புக்கிட்ட நிக்காத. தீ மூஞ்சிலையே அடிக்குது. அக்கட்ட போடா | நீ அக்கட்டாலே போய் உட்காரு, move aside | அக்கட்ட பாரு கெடக்கும் | அக்கட்டால என்ன பார்வ? | அத்தெ மகனெவுட்டு - என்னை அக் (எ) கட்டையா மாலையிட (நாட்டுப்புறப்பாடல்)",வினைச்சொல்,home_household,அக் கிடை,od | pm,
2,அக்கடானு,அக்காடானு,akkaṭāṉu,akkāṭāṉu,அமைதியாக நிம்மதியாக சும்மா இருத்தல்,,அக்கடானு இருந்தவளெ வம்புலெ மாட்டியுட்டுட்டாம் பாரு.,,,,np,
3,அக்கப்போர்,அக்கப்போரு,akkappōr,akkappōru,அட்டகாசம் | சண்டை | தொந்தரவு | பிரச்சினைக்குரிய.,pestering | fight,இவன் அக்கப்போரு தாங்க முடியலைடா | செரியான அக்கப்போரு புடிச்ச ஆளா இருக்குறான்.,,human_behavior,,od | np,
4,அக்கரகண்டி,,akkarakaṇṭi,,வாயாடி.,,அக்கரகண்டிகிட்ட வாய் குடுத்தா ஆவுமா.,பெயர்ச்சொல்,,,pm,
5,அக்காகுருவி,,akkākuruvi,,கொங்கு நாட்டில் மட்டுமே உள்ள ஒரு வகைக் குருவி. மழை வருவதை முன்கூட்டியே உணர்த்தும் வகையில் கத்தும்.,Common hawk-cuckoo,,,,,np,
6,அக்காது,,akkātu,,அறுந்து போகாது.,,இந்தக் கவுத்துல கட்டுனா சீக்கிரமா அக்காது.,,,,np,
7,அக்காரம்,,akkāram,,அக்ரகாரம்.,,,,,,np,
8,அக்கி,,akki,,உடல் சூட்டினால் வரும் புண்.,,ஒடம்புலெ அக்கி வந்துருச்சு படம் எழுதோணும்.,,,,np,
9,அக்கி எழுதுறது,,akki eḻutuṟatu,,"மூலிகைகள் கலக்கிய செங்கல் குழம்பால் சிங்கம், நாய் போன்ற உருவங்களை முதுகில் எழுதுதல்.",,ஒடம்புல அக்கி எழுதோணும்.,,,,np,
10,அக்கியானம்,,akkiyāṉam,,"தொல்லை, தொந்தரவு | தொந்தரவு; தொல்லை; துன்பம்.",trouble | annoyance,அக்கியானம் பண்ணாம ஒழுங்கா வேலையப் பாரு | இந்த அக்கியானத்த எங்க போய்ச் சொல்றது.,பெயர்ச்சொல்,human_behavior,,od | pm,
11,அக்கியானம் பிடித்தவன்,அக்கியானம் புடிச்சவன் | அக்கியானொ புடிச்சவெ,akkiyāṉam piṭittavaṉ,akkiyāṉam puṭiccavaṉ | akkiyāṉo puṭiccave,"தொந்தரவு, தொல்லைகள் தருபவன். | அடுத்தவர்களைப் பார்த்து பொறாமைப்படுபவன்.",,அவன் ஒரு அக்கியானம் புடிச்சவன். | எங்கியோ அக்கியானம் புடிச்சவன் போலே இருக்குது.,பெயர்ச்சொல்,,,pm | np,
12,அக்கிரமம்,,akkiramam,,கொடுமையான செயல் | தொல்லை.,,நீ பண்றது ரொம்ப அக்கிரமம்.,,,,np,
13,அக்குப்பொறுக்கி,,akkuppoṟukki,,திட்டுச்சொல்.,,அக்குப்பொறுக்கிப் பயகூட ஆரு சேருவா.,பெயர்ச்சொல்,,,pm,
14,அக்குவேறே ஆணிவேறேயா,அக்குவேற ஆணிவேறா,akkuvēṟē āṇivēṟēyā,akkuvēṟa āṇivēṟā,தனித்தனியாக.,,அக்குவேறே ஆணிவேறா பிரிச்சு வெச்சிட்டியா.,,,,np,
15,அக்குறுமம்,அக்குறும்,akkuṟumam,akkuṟuma,காண்க: அக்கிரமம்.,,,,,,np,
16,அகஞ்சேரணும்,அகஞ்சேருதல்,akañcēraṇum,akañcērutal,தன் இருப்பிடம் சேருதல்.,,எங்க சுத்தனாலும் தன்னோட அகம் சேர்ந்தாத்தான் நல்லது.,,,,np,
17,அகட்டு,,akaṭṭu,,நன்றாக விரித்தல்.,,காலை அகட்டி வெச்சுக்கிட்டு உட்காராதே.,,,,np,
18,அகப்பை,அகம்பெ,akappai,akampe,சாப்பாடு கிளறி விட பயன்படும் மரத்தாலான நீண்ட முளையில் தேங்காய் தொட்டியை பொருத்தியிருக்கும் கோல்.,,சட்டியில இருந்தாத்தானே அகப்பையில வரும்.,,,,np,
19,அகராதி,,akarāti,,குழப்பம்; முரணாகப் பேசுதல்; குழப்பம் ஏற்படுத்துபவள்/ன்.,,நேத்துலருந்து அவளோட ஒரே அகராதியா இருக்குது. | அவன் சுத்த அகராதிடா.,பெயர்ச்சொல்,,,od | pm,
20,அகராதி பிடிச்ச வேலை,,akarāti piṭicca vēlai,,"குழப்பம் மிகுந்த, விரைவில் முடியாத வேலை.",,இந்த அகராதி பிடிச்ச வேலக்கி என்னய எதுக்குடா கூப்பட்டீங்க.,பெயர்ச்சொல்,,,pm,
21,அகராதி புடிச்சவன்,அகராதி புடிச்சவெ,akarāti puṭiccavaṉ,akarāti puṭiccave,எதற்கும் ஒத்துவராதவன்.,,செரியான அகராதி புடிச்சவனாட்ட இருக்குது.,,,,np,
22,அகஸ்மாத்தா,அகஸ்மாத்தமா,akasmāttā,akasmāttamā,எதேச்சையாக.,,அகஸ்மாத்தா வந்துட்டே போலருக்குது.,,,,np,
23,சிண்டு மூட்டுதல்,,ciṇṭu mūṭṭutal,,சண்டை மூட்டி விடுதல்.,,அவனொரு சிண்டுமூட்டி.,,,,np,
24,அகிணி,அகினி | அவுனி,akiṇi,akiṉi | avuṉi,பனம் பட்டையிலிருந்து உரித்தெடுக்கப்பட்ட நார். | பனம்பட்டையிலிருந்து உரித்து எடுக்கும் (கட்டுவதற்குப் பயன்படும்) நார்.,,பந்தலு கட்டறதுக்கு அகிணி உரிச்சிட்டு வரோணும். | நூறு அகினி உரிச்சுக் கொடுத்தாப் போதும் | அகினி இருந்தாப் போட்டுக்கட்டீரலாம்.,பெயர்ச்சொல்,,,np | pm,
25,அகிலாட்டி,,akilāṭṭi,,தன் வேலைக்காக மட்டும் பிறரை அணுகும் வாயாடிப்பெண்.,,அகிலாட்டி வர்றா. அந்தாண்ட போயிரலாம் வா.,பெயர்ச்சொல்,,,pm,
26,அகினிப்புறம்,,akiṉippuṟam,,பனை நாரின் வெளிப்புறம்.,,அகினிப்புறம் நெகுநெகுன்னு இருக்குது பாரு.,பெயர்ச்சொல்,,,pm,
27,அங்கத்த,,aṅkatta,,அந்தப் பக்கத்து; அந்த ஊர்.,,அங்கத்த சனம் வருமா?,பெயர்ச்சொல்,,,pm,
28,அங்கம் பொறித்தல்,,aṅkam poṟittal,,சாவுச் சடங்கின் (காரியத்தின்) போது சுடுகாட்டிற்குச் சென்று வேகாமல் மிஞ்சியிருக்கும் எலும்பை நொறுக்குதல்.,,கருப்புல அங்கம் பொறிக்கப் போனவுங்க வந்துட்டாங்களா.,வினைச்சொல்,,,pm,
29,அங்கராக்கு,அங்கராப்பு,aṅkarākku,aṅkarāppu,சட்டை,shirt,அங்கராக்கு புதுசு எடுக்கோணும். | அங்கராக்குப் போட்டுக்கிட்டு வாடா போலாம்.,பெயர்ச்சொல்,dress_accessories,,od | np | pm,
30,அங்கலாப்பு,,aṅkalāppu,,"ஏக்கம், காரியம் நடைபெறாத வருத்தம், தீராத ஆசை.",,ஏன் அங்கலாப்பு புடிச்சவனா இருக்கறே.,,,,np,
31,அங்காணி,,aṅkāṇi,,துளை.,,கட்டையில அங்காணி பெருத்துப்போச்சு.,பெயர்ச்சொல்,,,pm,
32,அங்ஙணம்,அங்குணம்,aṅṅaṇam,aṅkuṇam,வீட்டின் அளவினைக் குறிக்கப் பயன்படும் சொல். இரு விட்டங்களுக்கிடையேயான தூரம்.,,வீட்டுக்குள்ள எத்தனை அங்ஙணம் இருக்குது.,,,,np,
33,அங்ஙனே,அங்ஙணே,aṅṅaṉē,aṅṅaṇē,"அங்கே, அந்த இடத்தில். கண்ணுக்குத் தெரியும் பொருளை சுட்டிக்காட்டுதல்.",,மூக்குத்தி அங்ஙனே கெடக்குது பாரு.,,,,np,
34,அச்சக்காரம்,அச்சக்காரொ,accakkāram,accakkāro,முன்பணம்.,advance deposit,ஆகாத வேலைக்கு அச்சக்காரம் வாங்காதே.,,,,np,
35,அச்சரம்,அச்சரொ,accaram,accaro,மந்திரம் எழுதப்பட்ட சதுர வடிவ தகடு.,,ஊட்டுலெ அச்சரம் எழுதி வெக்கோணும்.,,,,np,
36,அச்சாங்கல்,அஞ்சாங்கல்,accāṅkal,añcāṅkal,அஞ்சாங்கல்; ஐந்து சிறு கற்களைக் கொண்டு பெண்களும் சிறுவர்களும் ஆடும் விளையாட்டு.,,அச்சாங்கல்லு ஆடிக்கிட்டு ஆடுகளப் பாக்காத உட்டுட்டா.,பெயர்ச்சொல்,,,pm,
37,அச்சாணியம்,அச்சாணியொ | அச்சானியம்,accāṇiyam,accāṇiyo,அபச குணம் | அபசகுனம்.,,அச்சானியமாப் பேசாதீடா.,,human_behavior,,od | np | pm,
38,அச்சு,,accu,,சாயல்.(1) | கட்டை வண்டியின் அச்சாணி.(2),,அச்சு அசலா அவங்கப்பனை மாதிரியே இருக்கான் பாரு | வண்டிலெ அச்சு முறிஞ்சு போச்சு.,,,,np,
39,அச்சுக் கடைதிரட்டுதல்,அச்சுக் கடைதிரட்டு (தல்),accuk kaṭaitiraṭṭutal,accuk kaṭaitiraṭṭu (tal),பழுதடைந்த வண்டி அச்சைச் சீர்பார்த்தல்.,,வண்டிய அச்சுக் கடதெரட்டப் பட்டறயில உட்டிருக்கறம்.,வினைச்சொல்,,,pm,
40,அச்சுப்பலகை,,accuppalakai,,கரும்புப் பாகினைக் கொண்டு வெல்லம் தயாரிக்கும் குழிகள் கொண்ட பலகை. | பனைவெல்லப்பாகை வார்க்கும் மரத்தாலான குழிகள் கொண்ட பலகை.,,அச்சுப்பலகையில வெல்லம் போட்டு வெச்சிருக்குது. | அச்சுப்பலகயத் தொடச்சு எடுத்து வெய்யி.,பெயர்ச்சொல்,,,np | pm,
41,அசடு,அசடெ,acaṭu,acaṭe,உலக வாழ்க்கையைப்பற்றி அறியாதவன் (விபரமில்லாதவன்). நிலைமைக்குத் தக்கவாறு நடந்து கொள்ளத் தெரியாதவன்.,,எங்கியோ அசடா இருக்குறான் பாரு.,,,,np,
42,அசந்து,,acantu,,வியப்பு.,,அவனைப் பார்த்து அப்படியே அசந்து போய்ட்டேன்.,,,,np,
43,அசப்பு,,acappu,,ஒரே மாதிரியான தோற்றம்.,,அசப்புலெ அவங்கப்பன் மாதிரியே இருக்கான்.,,,,np,
44,அசரிக்கை,,acarikkai,,அசதி. கடுமையான உழைப்பிற்குப் பின் வரும் சோர்வு. | தூக்க மயக்கம்.(1) | அசதி.(2),,ஒரே அசரிக்கையா இருக்குது. | அசரிக்கையா இருக்குது. அப்படியே படுக்கறன் | காலெல்லாம் ஒரே அசரிக்கயா இருக்குது.,பெயர்ச்சொல்,,,np | pm,
45,அசலூர்,அசலூரு,acalūr,acalūru,வெளியூர்.,,அசலூர்க்காரன் ஊருக்குள்ள வந்தா அவன் மேல ஒரு கண்ணு வெச்சுக்கோணும்.,,,,np,
46,அசிங்கரம்,அசிங்கரொ,aciṅkaram,aciṅkaro,அசிங்கம். அசுத்தமாக இருத்தல்.,,எங்கியோ அசிங்கரம் புடிச்சவன் போல இருக்கறே.,,,,np,
47,அசைபோடுறது,அசபோடறது,acaipōṭuṟatu,acapōṭaṟatu,"ஆடு, மாடுகள் மேயும் போது சரியாக மெல்லாமல் விழுங்கும் உணவைத் திரும்பவும் வாய்க்குக் கொண்டு வந்து அரைத்து விழுங்குவது.",,மாடு அசபோடுது பாரு.,,,,np,
48,அஞ்சங்கண வீடு,,añcaṅkaṇa vīṭu,,கொங்கு மண்டலத்தின் பாரம்பரிய கட்டிடக்கலை அமைப்பில் நடுமுற்றம் (தொட்டி கட்டு) கொண்டு கட்டப்படும் ஒரு வகை ஓட்டு வீடு,,,,home_household,,od,
49,அஞ்சாங்கல்லு,,añcāṅkallu,,சிறுவர் விளையாடும் ஒரு வகை விளையாட்டு.,,அஞ்சாங்கல்லு வெளையாட வர்றியா.,,,,np,
50,அஞ்சூட்டுதல்,அஞ்சடுதல்,añcūṭṭutal,añcaṭutal,கர்ப்பிணிப் பெண்ணுக்கு 5வது மாதத்தில் நடைபெறும் சீர்.,,,,,,np,
51,அட்டமி,,aṭṭami,,அஷ்டமி எனும் திதி.,,அட்டமி நவமியுமா பாத்தா நல்ல காரியஞ் செய்வாங்க?,,,,np,
52,அட்டனாங்கால்,ரெட்டணங்கால்,aṭṭaṉāṅkāl,reṭṭaṇaṅkāl,ஒரு கால் மேல் இன்னொரு காலை தூக்கிப்போட்டு உட்காருதல்.,,என்ன தைரியமிருந்தா எம்முன்னாடியே அட்டனாங்கால் போட்டு உட்காருவே.,,,,np,
53,அட்டாரி,அட்டாலி,aṭṭāri,aṭṭāli,பரண் | வீட்டின் மேல் பகுதியில் உள்ள பரண். | வீட்டுப்பரண்.,"loft, attic",பழசு பரட்டையெல்லாம் அட்டாலியில கெடக்கும் பாரு. | அளந்த வள்ளம் அட்டாலியிலே (பழமொழி),பெயர்ச்சொல்,home_household,,od | np | pm,
54,அட்டி,,aṭṭi,,கழுத்தில் அணியும் அணி | மூட்டைகளை ஒன்றன் மேல் ஒன்றாக வரிசையாக அடுக்கி வைத்தல். | கழுத்தில் அணியும் அட்டிகை எனும் நகை.(1) | மூட்டைகளை ஒன்றன் மேல் ஒன்றாக அடுக்கும் முறை.(2),,நெல்லு அட்டி போட்டுருக்குது பாரு. | கழுத்துக்கு ஒரு அட்டி போட்டா நல்லாத்தான் இருக்கும் | மூட்டய எல்லாம் அட்டி போட்டுவெச்சிருங்க.,பெயர்ச்சொல்,dress_accessories,,od | np | pm,
55,அட்டியல்,அட்டியலு,aṭṭiyal,aṭṭiyalu,பெண்கள் உட்கழுத்தில் அணியும் தங்க நகை.,,அட்டியலு போட்டுக்கிட்டு போறா பாரு.,,,,np,
56,அட்டுக்குஞ்சு,,aṭṭukkuñcu,,பிறந்து ஓரிரு நாட்களான பறவைக்குஞ்சு. | பிறந்து ஓரிரு நாட்களே ஆன பறவைக் குஞ்சு.(1) | அடை ஒட்டிலிருந்து கீழே இறக்கிவிடப்படாத கோழிக்குஞ்சு.(2),,அட்டுக் குஞ்சப் புடிச்சு வெளையாடாதே. | அட்டுக்குஞ்சப்புடிச்சாந்து எதுக்காவுது | இன்னும் அட்டுக்குஞ்சு இருக்குது. அடை ஓட்டுலேயே எர போடு.,பெயர்ச்சொல்,,,np | pm,
57,அட்டுக்குட்டி,,aṭṭukkuṭṭi,,பிறந்து ஓரிரு நாட்களே ஆன குட்டி.,,அட்டுக் குட்டிய தூக்காத.,,,,np,
58,அட்டுப்பால்,அட்டுப்பாலு,aṭṭuppāl,aṭṭuppālu,தாய்ப்பாலைத் தவிர்த்துக் கொடுக்கப்படும் மற்ற பால் | தாயினை இழந்த குட்டிகளுக்குப் புட்டியில் கொடுக்கும் பால். | குழந்தைகளுக்கோ ஆட்டுக் குட்டிகளுக்கோ தாய்ப்பால் தவிர்த்துக் கொடுக்கப்படும் வேறுபால்.,,அட்டுப்பாலு குடுத்து வளத்த கோழி. | அட்டுப்பால் குடிச்சுக் கொழந்த எப்பிடி வளரும்? | அது அட்டுப்பாலே குடுத்து வளத்துன குட்டி.,பெயர்ச்சொல்,food_cooking,,od | np | pm,
59,அட்டூரு,,aṭṭūru,,ஒட்டடை.,,"இன்னிக்கு அட்டூரு அடிச்சு, ஊடு வழிச்சன்.",பெயர்ச்சொல்,,,pm,
60,அட்டூழியம்,அட்டூழியொ,aṭṭūḻiyam,aṭṭūḻiyo,"அக்கிரமம் செய்தல், தீயசெயல்.",,அட்டூழியம் பண்ணாத பாதியிலேயே அழிஞ்சு போவே.,,,,np,
61,அடக்கம்,அடக்கொ,aṭakkam,aṭakko,பிணத்தை புதைத்தல்.(1) | அமைதி.(2),,பொணத்தை அடக்கம் செஞ்சுட்டு வர்றோம் | பையன் ரொம்ப அடக்க ஒடுக்கமா இருக்குறான்.,,,,np,
62,அடக்கோழி,அடக்கோறி,aṭakkōḻi,aṭakkōṟi,அடைகாக்கும் கோழி.,,அடக்கோழி பக்கத்துல போகாத கொத்திப் போடும்.,,,,np,
63,அடசல்,அடசலு,aṭacal,aṭacalu,பொதுவாக சாமிக்கு நேர்ந்து கொண்ட கோழிகளை படைத்து விருந்தளிக்கும் முறையைக் குறிக்கும் | இட்லியை வேக வைத்து எடுக்கும் அளவு. | பாத்திரத்தில் ஒரு தடவை வேக வைத்து எடுக்கும் இட்லி.,,ரெண்டு அடசலு இட்லி ஊத்தி வெய்யி. | இட்டிலி எத்தனை அடச எடுத்திருக்கிற?,பெயர்ச்சொல்,festival_religion,,od | np | pm,
64,அடப்பம்,,aṭappam,,அடைப்பம்; நாவிதர் கருவிப்பெட்டி அல்லது பை.,,அடப்பத்தோட போறாப்பல....,பெயர்ச்சொல்,,,pm,
65,அடப்பு,,aṭappu,,இறந்த நேரத்தை ஜோஸியர்களிடம் கொடுத்துப் பார்ப்பார்கள் | தனிஷ்டா பஞ்சமி சடங்கு இந்நாட்களில் இறப்பவர்களின் ஆன்மா மேலுலகம் செல்ல தடை அல்லது தாமதம் ஏற்படும் என்பது ஐதீகம் | கெட்ட நேரத்தில் இறந்தால் வீடு அடைப்பது. | எலி தனது பாதுகாப்புக்காக வளைக்குள் ஆங்காங்கே ஏற்படுத்தியிருக்கும் சிறு அடைப்பு.(1) | ஒருவர் கெட்ட நேரத்தில் செத்துப் போனால் குறிப்பிட்ட நாட்கள் வரை குடும்பத்தினருக்கும் பங்காளிகளுக்கும் நல்ல காரியங்களில் ஈடுபட ஏற்படும் தடை.(2),,"சில குறிப்பிட்ட நேரத்தில் இறந்திருந்தால், சில தினங்களுக்கு அடப்பு வைக்க வேண்டும் என்று சொல்வார். அந்த நாட்களுக்கு தொடர்ச்சியாக விளக்கு எரிந்து கொண்டிருக்கும். மனைவி இருந்தால் வெளியே வராமல் வீட்டிலேயே அடைந்து இருப்பார். இன்னு ம் பல சடங்குகளும் இருக்கும் | எங்கூடு அடப்புலெ இருக்குது தீட்டு. | இவ்வளவு தூரம் வெட்டனதுக்கு அப்புறம் அடப்பு உழுந்திடுச்சு | இப்பக் கலியாண காரியத்த பேசாத. அடப்புல இருக்குறம்..",பெயர்ச்சொல்,kinship,,od | np | pm,
66,அடப்பு நீக்குதல்,அடப்பு நீக்கு (தல்),aṭappu nīkkutal,aṭappu nīkku (tal),அடப்பு நீக்கப் பரிகாரம் செய்தல்.,,பாட்டி செத்ததுக்கு அடப்பு நீக்கியாச்சா?,வினைச்சொல்,,,pm,
67,அடம்பு,,aṭampu,,காண்க: அடர்த்தியா. | அடர்த்தி; நெருக்கம் (நிலத்தில் பயிர்கள் அளவுக்கு மேல் முளைத்திருத்தல்).,,பயிரு அடம்பாப்போச்சு.,பெயர்ச்சொல்,,,np | pm,
68,அடமழை,அடமழெ,aṭamaḻai,aṭamaḻe,விடாமல் பெய்யும் மழை.,,அடமழையில எங்கியாவது போயி மாட்டிக்காதே.,,,,np,
69,அடமுட்டுப்பலகை,,aṭamuṭṭuppalakai,,"பனை, தென்னை மரமேறுபவர்கள் இடுப்பின் பின்பக்கம் கட்டிக்கொண்டிருக்கும் பெட்டிக்குள் பாளை சீவும் கத்தியைப் பாதுகாக்க வைத்திருக்கும் சிறுபலகை.",,அடமுட்டுப்பலகயச் செருவி பாளக்கத்திய வெய்யி.,பெயர்ச்சொல்,,,pm,
70,அடர்த்தியா,அடத்தியா,aṭarttiyā,aṭattiyā,அடர்த்தியாக.,,பயிரு ரொம்ப அடர்த்தியா வந்துருச்சு.,,,,np,
71,அடல்,,aṭal,,"ஒன்றன் மேல் ஒன்றாக அடுக்கி இருக்கும் சிறு சிறு (அடை, ரொட்டி, இதழ்) துண்டுகள்.",,பூவப்பாரு அடலடலா இருக்குது.,பெயர்ச்சொல்,,,pm,
72,அடவாதம்,,aṭavātam,,அடம்; பிடிவாதம்.,,கொழந்தைன்னா அடவாதம் இருக்குந்தான்.,பெயர்ச்சொல்,,,pm,
73,அடறை,அட்ரெ,aṭaṟai,aṭre,தூசி / ஒட்டடை.,,அட்ரெய அடிச்சுக் கூட்டு.,,,,np,
74,அடாபுடி,,aṭāpuṭi,,கொடுஞ்செயல்.,,ஏண்டா இப்பிடி அடாபுடித்தனம் பண்ற.,,,,np,
75,அடி அரட்டை,,aṭi araṭṭai,,மாட்டுவண்டியின் மேற்பகுதியில் பொருள்கள் கீழே கொட்டாமல் இருக்கப் போடப்படும் தடுப்பு.,,அடிஅரட்ட செரியாப் போட்டிருக்குதானு பாரு.,பெயர்ச்சொல்,,,pm,
76,அடி ஓலை,,aṭi ōlai,,பனை மரத்தில் அடிப்புறமாக இருக்கும் முற்றிய ஓலை.,,அடி ஓலயப் பாத்துக் குருத்தோல சிரிச்சுதாம் (பழமொழி),பெயர்ச்சொல்,,,pm,
77,அடிக்கால்,,aṭikkāl,,அடிப்பகுதி.,,அடிக்கால்ல நல்லா நில்லு.,பெயர்ச்சொல்,,,pm,
78,அடிக்குந்தலைக்குமா,,aṭikkuntalaikkumā,,ஆரம்பம் முதல் இறுதி வரை.,,அடிக்குந்தலைக்குமா இப்பிடியா எல்லாத்தையும் போட்டு வெக்கிறது.,,,,np,
79,அடிகரை,,aṭikarai,,"ஆறு, குளக்கரைகளை ஒட்டியுள்ள நிலப்பகுதி.",,அவுங்க தோட்டம் அடிகரயிலயே இருக்குது.,பெயர்ச்சொல்,,,pm,
80,அடிச்சோறு,,aṭiccōṟu,,பாத்திரத்தின் அடியில் தீய்ந்த சோறு | பாத்திர அடியில் ஒட்டியுள்ள சோறு. | பாத்திரத்தின் அடியில் தீய்ந்தோ கற்களுடனோ இருக்கும் சோறு.,,சட்டியில அடிச்சோறா இருக்குது. | அடிச்சோத்த எனக்குப் போடாத.,பெயர்ச்சொல்,food_cooking,,od | np | pm,
81,அடித்தட்டுதல்,அடித்தட்டு (தல்),aṭittaṭṭutal,aṭittaṭṭu (tal),தீர்ந்து போதல்.(1) | அரிதாகி விடுதல்.(2),,கெணத்துல தண்ணி அடித்தட்டிப் போச்சு | இப்ப கம்பே அடித்தட்டிப் போச்சு.,வினைச்சொல்,,,pm,
82,அடிதுடி,,aṭituṭi,,சண்டை.,,அங்க ஒரே அடிதுடியா இருக்குது.,,,,np,
83,அடிப்பட்டரை,,aṭippaṭṭarai,,தீவனப் போர் வைக்கும்போது கரையான் அரிக்காமல் பாதுகாக்கக் கற்களையும் மரக்கட்டைகளையும் கொண்டு மண்ணிலிருந்து சற்று உயர்ந்திருக்கும்படி செய்யும் ஏற்பாடு.,,அடிப்பட்டர கூட்டியாச்சா?,பெயர்ச்சொல்,,,pm,
84,அடிப்பிடிக்கும்,,aṭippiṭikkum,,தண்ணீர் இல்லாததால் பானையில் அரிசி பிடித்துக் கொள்வது,,,,food_cooking,,od,
85,அடிப்பிடித்தல்,அடிப்பிடி (த்தல்),aṭippiṭittal,aṭippiṭi (ttal),பாத்திரத்தின் அடியில் சோறு தீய்ந்து பிடித்துக் கொள்ளுதல்.,,சோறு அடிப்பிடிச்சிருச்சு.,வினைச்சொல்,,,pm,
86,அடிப்போர்,,aṭippōr,,தானியத்தட்டைப்போரின் அடிப்பகுதி.,,அடிப்போர்ல தட்டு உருவாதே.,பெயர்ச்சொல்,,,pm,
87,அடிமடி,,aṭimaṭi,,சேலையின் உள்ளே மறைவாகக் கட்டி வைத்திருக்கும் மடிப்பகுதி; பிறர் அறியாத மறைவுப் பகுதி.,,அடிமடியில வெச்சிருப்பா பாரு | அடி மடியிலயே கையவச்சிட்டயேடா.,பெயர்ச்சொல்,,,pm,
88,அடிமண்ணு,அடிமண்,aṭimaṇṇu,aṭimaṇ,காலில் ஒட்டிய மண்.,,உன்ற அடிமண்ணை எடுத்து சுத்திப் போடலாம்.,,,,np,
89,அடிமரம்,,aṭimaram,,மரத்தின் வேருக்கும் கிளைகளுக்கும் இடையில் இருக்கும் பகுதி.,,அடிமரத்தயே வெட்டீட்டான்.,பெயர்ச்சொல்,,,pm,
90,அடிமாடு,,aṭimāṭu,,இறைச்சிக்காக கொல்லப்படும் மாடு.,,அடிமாட்டு வெலைக்கு வாங்கி வந்தேன்.,,,,np,
91,அடியுரம்,,aṭiyuram,,மனவலிமை.(1) | பயிர்களுக்கு இடும் உரம்.(2),,அவனுக்கு அடியுரம் ரொம்ப ஜாஸ்தி | அடியுரம் போட்டாதான் பயிரு நல்லா மொளைக்கும்.,,,,np,
92,அடிவவுறு,அடிவயிறு,aṭivavuṟu,aṭivayiṟu,வயிற்றின் அடிப்பகுதி.,,அடி வவுத்துலருந்து பசி பயங்கரமா வருது.,,,,np,
93,அடிவாரி,,aṭivāri,,கிணற்றிலிருந்து நீர் இறைக்கும் கபிலையில் எருதுகள் கடைசியாக நின்று மீண்டும் பின்னோக்கி வரும் இடம். | ஏற்றம் இறைக்கும் போது மாடுகள் இழுத்துக் கொண்டோடும் பகுதியான வாரியின் கடைப்பகுதி.,,அடிவாரியில போயி நிக்காதடா.,பெயர்ச்சொல்,,,np | pm,
94,அடிவிழுந்து கும்பிடுதல்,அடிவிழுந்து கும்பிடு (தல்),aṭiviḻuntu kumpiṭutal,aṭiviḻuntu kumpiṭu (tal),வேண்டுதலுக்காகக் கோவிலைச் சுற்றி ஈர உடையோடு மண்ணில் விழுந்து கும்பிட்டு வருதல்.,,அடிஉழுந்து கும்படற முன்னு வேண்டிக்கிட்டயா?,வினைச்சொல்,,,pm,
95,அடிவெட்டு,,aṭiveṭṭu,,ஓர் அடிக்கு (அளவு) இவ்வளவு என்று பேசிக்கொள்ளும் கிணறு வெட்டு.,,அடிவெட்டுக்குப் பேசிக்கிட்டாத்தான் நல்லது.,பெயர்ச்சொல்,,,pm,
96,அடிஸ்கோலு,அடிஸ்கோல்,aṭiskōlu,aṭiskōl,ஒரு அடி நீளமுள்ள அளவுகோல்.,,அடிஸ்கோலுல கோடு போடு.,,,,np,
97,அடுக்களை,,aṭukkaḷai,,சமையலறை.,,அடுக்களைலெ என்ன பண்ற.,,,,np,
98,அடுக்கு,,aṭukku,,,,,,home_household,,od,
99,அடுக்கு மொடா,,aṭukku moṭā,,"ஒன்றன் மேல் ஒன்றாக அடுக்கி வைக்கப்படும் பெரும்பானை (மிடா) வரிசை (ஏழு, ஒன்பது வரிசை கொண்ட மிடாக்களை திருமணப் பெண்ணுக்குச் சீராகக் கொடுத்துவிடும் வழக்கம் முன்பிருந்தது).",,அந்தக் காலத்துல அடுக்கு மொடாவுலதான் கம்பெல்லாம் கொட்டி வெப்பாங்க.,பெயர்ச்சொல்,,,pm,
100,அடுக்குச்சந்து,,aṭukkuccantu,,மிடாவரிசைகளுக்கிடையே இருக்கும் சிறு இடைவெளி.,,அடுக்குச் சந்துல நெருப்பொட்டி உழுந்திருச்சு. எடுக்க முடியில.,பெயர்ச்சொல்,,,pm,
101,அடுத்ததாட்டி,,aṭuttatāṭṭi,,"மறுபடியும், அடுத்த முறை.",,அடுத்ததாட்டி வரும்போது இந்த சீட்ட கொண்டு வரோணும்.,,,,np,
102,அடுத்துக்கிடுதல்,அடுத்துக்கிடு (தல்),aṭuttukkiṭutal,aṭuttukkiṭu (tal),சாவு நெருங்கி விடுதல்.,,அவருக்கு அடுத்துகிச்சு.,வினைச்சொல்,,,pm,
