id,label,is_active
od,திறந்த தரவு,1
pm,கொங்கு வட்டாரச் சொல்லகராதி - பெருமாள் முருகன்,1
np,"கொங்கு வட்டார வழக்குச் சொல்லகராதி - நல்லா. பழனிசாமி, இரா. இரவிக்குமார்",1
